Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,ARG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ARNA,0,0,0,0,2280000000.0,1870000000.0,,-9.93,-0.2,126.84,3.75,104.06,-13.26,-163.6,-805.69,-17.64,-7.02,17970000.0,0.38,-43.7,-97060000.0,-141020000.0,-28570000.0,-0.62,,445630000.0,9.01,52710000.0,8.69,15.4,12.27,-132210000.00000001,-93910000.0,1.57,46.03,43.2,49570000.0,49570000.0,46390000.0,0.16,85.23,3460000.0,8.87,,3440000.0
0,0,ARO,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ATI,0,0,0,0,3090000000.0,4560000000.0,18.26,10.21,0.87,0.76,1.59,1.12,10.03,4.41,7.36,3.46,9.6,4070000000.0000005,32.5,2.6,630300000.0,455100000.0,179400000.0,1.34,-74.1,217000000.0,1.73,1540000000.0,75.37,2.87,15.42,309900000.0,217700000.0,2.43,25.71,25.92,1580000.0,126030000.0,124100000.0,21.71,0.0,17620000.0,9.61,16.08,17570000.0
0,0,ATVI,0,0,0,0,37960000000.0,36140000000.0,21.09,19.28,3.05,5.06,3.33,4.82,14.42,24.17,26.64,6.84,17.42,7500000000.0,9.84,16.5,4980000000.0,2510000000.0,1810000000.0,2.35,,4380000000.0,5.73,2670000000.0,23.52,2.31,14.88,1790000000.0,1240000000.0,0.79,46.53,49.77,12060000.0,766000000.0,755310000.0,1.15,91.54,15490000.0,1.71,2.31,17170000.0
0,0,AVB,0,0,0,0,28010000000.0,34950000000.0,27.79,39.89,16.89,12.22,2.61,15.25,23.82,43.78,36.54,2.81,9.52,2290000000.0,16.61,0.5,1520000000.0,1470000000.0,1000000000.0,7.25,20.3,63000000.0,0.45,7040000000.0,65.57,,77.2,,,0.73,199.74,188.72,139030000.0,139030000.0,138600000.0,0.26,94.98,1720000.0,3.25,1.67,1940000.0
0,0,AVP,0,0,0,0,1250000000.0,2950000000.0,,14.84,3.5,0.22,,0.53,5.93,-0.35,7.57,7.86,,5570000000.0,12.61,-10.7,3300000000.0,497800000.0,-43600000.0,-0.1,,532700000.00000006,1.2,1590000000.0,,1.18,-2.05,92700000.0,274000000.0,1.9,2.9297,2.34,7580000.0,442500000.0,433060000.0,0.44,79.21,15810000.0,2.54,4.03,17220000.0
0,0,AVY,0,0,0,0,9250000000.0,11180000000.0,48.89,15.22,1.41,1.3,9.33,1.57,11.69,2.74,11.16,9.35,18.76,7120000000.0,82.46,-2.0,1920000000.0,956000000.0,195300000.0,2.24,,252100000.0,2.99,2270000000.0,228.59,1.14,11.75,477300000.0,415800000.0,1.6,112.2,100.48,84420000.0,84420000.0,83860000.0,0.62,90.78,1160000.0,2.23,1.57,1500000.0
0,0,AXP,0,0,0,0,97910000000.0,125810000000.0,14.93,13.04,1.58,2.6,4.42,3.35,,18.18,21.32,3.63,32.69,37600000000.0,44.15,6.8,25510000000.0,,6700000000.0,7.85,-5.1,33280000000.0,39.85,61370000000.0,276.21,1.88,26.55,15410000000.0,,1.06,112.02,106.07,3270000.0,835080000.0,681350000.0,0.29,86.33,6450000.0,1.86,0.94,8730000.0
0,0,AZO,0,0,0,0,25840000000.0,30350000000.0,19.37,16.07,1.35,2.28,,2.68,11.87,12.49,19.48,14.38,,11310000000.0,436.38,1.6,5970000000.0,2560000000.0,1410000000.0,53.6,1.8,247230000.0,9.93,5110000000.0,,0.94,-63.88,2150000000.0,1310000000.0,0.8,1022.39,886.12,24890000.0,24890000.0,24720000.0,0.82,96.56,2.46,2.46,2.74,
